F641;"Municipal and City Level Small Area Poverty Estimates;  2018 and 2021";;;;;;;;;
PSGC;Region/Province;Municipality/City;Poverty Incidence;;Coefficient of Variation;;90% Confidence Interval;;;
;;;;;;;;;;
;;;2018;2021;2018;2021;2018;;2021;
ID;;;;;;;Lower Limit;Upper Limit;Lower Limit;Upper Limit
;National Capital Region (NCR);;;;;;;;;
133901;1st district;Tondo;3,8;2,1;15,7;9,4;2,8;4,7;1,8;2,5
133902;;Binondo;1,5;1,3;23,0;27,3;0,9;2,1;0,7;2,0
133903;;Quiapo;4,0;2,6;18,7;19,3;2,8;5,3;1,8;3,4
133904;;San Nicolas;4,0;2,7;30,3;21,7;2,0;6,0;1,7;3,7
133905;;Santa Cruz;2,4;2,0;11,9;10,9;1,9;2,8;1,7;2,4
133906;;Sampaloc;2,0;1,7;9,6;8,2;1,7;2,3;1,5;1,9
133907;;San Miguel;4,6;2,6;19,6;25,9;3,1;6,1;1,5;3,7
133908;;Ermita;2,9;2,1;15,7;22,0;2,1;3,6;1,3;2,9
133909;;Intramuros;4,3;1,7;26,9;35,5;2,4;6,2;0,7;2,7
133910;;Malate;2,7;1,7;11,9;15,8;2,2;3,2;1,3;2,2
133911;;Paco;1,9;2,1;13,9;11,4;1,4;2,3;1,7;2,4
133912;;Pandacan;2,2;1,9;13,0;15,0;1,7;2,6;1,4;2,4
133913;;Port Area;6,5;1,3;38,7;65,8;2,4;10,6;0,0;2,6
133914;;Santa Ana;2,4;1,9;12,5;11,2;1,9;2,9;1,6;2,3
;Cordillera Administrative Region (CAR);;;;;;;;;
140101;Abra;Bangued;8,9;18,3;11,9;5,2;7,2;10,6;16,7;19,9
140102;;Boliney;33,0;5,6;13,5;5,3;25,7;40,3;5,1;6,1
140103;;Bucay;20,4;10,1;11,5;5,4;16,6;24,3;9,2;11,0
140104;;Bucloc;21,2;7,0;22,1;6,4;13,5;28,9;6,3;7,7
140105;;Daguioman;24,7;18,7;19,9;5,8;16,6;32,9;16,9;20,5
140106;;Danglas;23,2;8,7;13,6;9,7;18,0;28,4;7,3;10,1
140107;;Dolores;15,7;12,2;15,7;11,4;11,6;19,7;9,9;14,4
140108;;La Paz;19,8;36,1;13,6;9,6;15,4;24,3;30,4;41,8
140109;;Lacub;37,7;15,7;13,1;11,8;29,5;45,8;12,6;18,7
140110;;Lagangilang;19,4;13,8;10,8;25,1;15,9;22,8;8,1;19,5
140111;;Lagayan;32,9;25,7;14,6;16,9;25,0;40,8;18,5;32,8
140112;;Langiden;24,0;15,8;16,4;19,4;17,5;30,5;10,7;20,8
140113;;Licuan-Baay (Licuan);23,3;15,7;11,8;13,8;18,8;27,9;12,2;19,3
140114;;Luba;21,6;22,8;16,0;7,3;15,9;27,3;20,1;25,6
140115;;Malibcong;18,4;47,4;16,0;9,1;13,6;23,3;40,3;54,6
140116;;Manabo;16,7;18,2;18,0;13,5;11,8;21,7;14,2;22,2
140117;;Peñarrubia;16,2;23,4;16,6;14,5;11,8;20,6;17,9;29,0
140118;;Pidigan;15,2;22,3;13,9;17,1;11,8;18,7;16,1;28,6
140119;;Pilar;19,3;26,9;13,7;10,0;14,9;23,7;22,5;31,3
140120;;Sallapadan;20,0;17,2;17,1;19,2;14,4;25,6;11,8;22,6
140121;;San Isidro;20,3;21,9;14,0;15,0;15,6;25,0;16,5;27,3
140122;;San Juan;22,2;18,1;10,2;16,3;18,5;25,9;13,3;23,0
140123;;San Quintin;14,8;22,3;19,6;12,6;10,0;19,6;17,7;27,0
140124;;Tayum;17,9;13,5;15,0;13,0;13,5;22,4;10,6;16,3
140125;;Tineg;36,4;19,8;10,2;11,4;30,3;42,5;16,1;23,5
140126;;Tubo;23,6;20,2;12,0;15,6;19,0;28,2;15,0;25,4
140127;;Villaviciosa;19,9;19,1;17,0;18,1;14,4;25,5;13,4;24,8
141101;Benguet;Atok;18,7;17,0;12,4;13,7;14,8;22,5;13,2;20,9
141103;;Bakun;17,9;15,9;18,6;14,0;12,4;23,4;12,2;19,5
141104;;Bokod;9,9;43,0;17,5;13,0;7,0;12,7;33,8;52,2
141105;;Buguias;9,4;26,2;15,6;14,9;7,0;11,9;19,8;32,6
141106;;Itogon;6,9;14,4;19,6;18,9;4,7;9,1;10,0;18,9
141107;;Kabayan;19,1;11,3;14,2;17,0;14,7;23,6;8,2;14,5
141108;;Kapangan;17,3;2,5;10,5;9,4;14,3;20,3;2,1;2,9
141109;;Kibungan;28,1;7,9;12,7;23,8;22,2;33,9;4,8;11,0
141110;;La Trinidad;2,3;7,1;21,7;20,7;1,5;3,1;4,7;9,5
141111;;Mankayan;10,4;10,1;16,2;12,0;7,6;13,1;8,1;12,1
141112;;Sablan;8,7;10,6;16,9;13,5;6,3;11,1;8,2;12,9
141113;;Tuba;7,0;13,8;18,3;11,5;4,9;9,1;11,2;16,5
141114;;Tublay;13,2;8,7;16,1;17,6;9,7;16,7;6,2;11,2
142701;Ifugao;Banaue;19,2;12,0;9,8;21,0;16,1;22,3;7,9;16,2
142702;;Hungduan;21,2;4,1;11,9;10,7;17,1;25,4;3,4;4,8
142703;;Kiangan;14,9;10,6;10,9;15,1;12,2;17,5;7,9;13,2
142704;;Lagawe;12,2;5,6;9,7;27,3;10,3;14,2;3,1;8,2
142705;;Lamut;11,7;7,6;13,4;12,1;9,1;14,3;6,1;9,1
142706;;Mayoyao;17,4;9,1;9,4;14,9;14,7;20,1;6,9;11,4
142707;;Alfonso Lista (Potia);16,4;9,5;10,9;13,7;13,5;19,3;7,3;11,6
142708;;Aguinaldo;24,7;7,7;11,5;22,4;20,0;29,4;4,9;10,6
142709;;Hingyon;23,0;11,6;11,6;12,0;18,6;27,5;9,3;13,8
142710;;Tinoc;27,0;4,4;11,3;18,7;21,9;32,0;3,0;5,7
142711;;Asipulo;32,0;8,6;11,8;10,3;25,8;38,3;7,1;10,0
143201;Kalinga;Balbalan;16,0;10,1;13,4;13,0;12,4;19,5;7,9;12,2
143206;;Lubuagan;20,2;7,5;11,2;12,9;16,5;24,0;5,9;9,1
143208;;Pasil;18,2;11,7;11,0;15,8;14,9;21,4;8,7;14,7
143209;;Pinukpuk;20,3;12,0;8,7;15,1;17,4;23,2;9,0;14,9
143211;;Rizal (Liwan);11,9;16,4;14,2;9,8;9,1;14,6;13,7;19,0
143213;;City of Tabuk;10,6;14,5;10,5;18,6;8,8;12,4;10,1;19,0
143214;;Tanudan;22,3;9,2;11,8;18,1;18,0;26,6;6,5;12,0
143215;;Tinglayan;27,7;7,8;9,0;17,6;23,6;31,8;5,6;10,1
144401;Mountain Province;Barlig;14,4;9,7;17,0;16,4;10,4;18,5;7,1;12,4
144402;;Bauko;21,8;11,0;10,0;12,1;18,2;25,3;8,8;13,2
144403;;Besao;16,6;6,8;12,1;13,8;13,3;19,9;5,3;8,4
144404;;Bontoc;10,0;4,5;15,2;9,9;7,5;12,5;3,8;5,2
144405;;Natonin;23,1;15,1;14,4;14,4;17,6;28,6;11,5;18,7
144406;;Paracelis;30,6;9,3;10,3;15,7;25,5;35,8;6,9;11,7
144407;;Sabangan;14,0;17,3;13,0;14,4;11,0;17,1;13,2;21,5
144408;;Sadanga;21,7;18,6;13,2;9,4;17,0;26,4;15,7;21,5
144409;;Sagada;12,6;19,7;15,4;13,8;9,4;15,8;15,2;24,2
144410;;Tadian;18,1;7,9;10,5;14,5;15,0;21,2;6,0;9,8
148101;Apayao;Calanasan (Bayag);29,8;27,4;11,0;9,3;24,4;35,2;23,2;31,6
148102;;Conner;23,7;24,9;8,5;9,4;20,3;27,0;21,1;28,8
148103;;Flora;17,8;17,3;13,1;12,4;14,0;21,6;13,8;20,8
148104;;Kabugao;35,3;19,1;10,4;12,1;29,3;41,4;15,3;22,9
148105;;Luna;13,9;14,4;12,8;13,5;11,0;16,8;11,2;17,6
148106;;Pudtol;21,0;20,5;9,7;9,9;17,7;24,4;17,1;23,8
148107;;Santa Marcela;12,2;12,2;16,4;21,5;8,9;15,5;7,9;16,5
;Region I (Ilocos Region);;;;;;;;;
12801;Ilocos Norte;Adams;5,6;9,2;80,3;52,9;0,0;13,0;1,2;17,2
12802;;Bacarra;3,4;5,8;19,0;15,6;2,4;4,5;4,3;7,3
12803;;Badoc;5,7;8,8;18,5;12,6;3,9;7,4;7,0;10,6
12804;;Bangui;4,7;6,1;25,5;18,0;2,8;6,7;4,3;7,9
12805;;City of Batac;4,1;4,0;18,1;15,3;2,9;5,4;3,0;5,0
12806;;Burgos;4,4;6,2;29,4;19,4;2,2;6,5;4,2;8,2
12807;;Carasi;6,7;6,0;58,0;40,7;0,3;13,1;2,0;10,0
12808;;Currimao;4,3;5,0;24,2;20,6;2,6;6,0;3,3;6,7
12809;;Dingras;6,0;8,2;17,9;12,4;4,3;7,8;6,5;9,9
12810;;Dumalneg;7,2;9,1;60,3;29,0;0,1;14,3;4,7;13,4
12811;;Banna;6,1;8,7;19,9;16,2;4,1;8,1;6,4;11,0
12812;;City of Laoag;2,4;3,4;19,5;16,4;1,6;3,1;2,5;4,3
12813;;Marcos;5,0;8,0;26,0;18,9;2,9;7,1;5,5;10,5
12814;;Nueva Era;6,1;7,2;30,2;17,7;3,1;9,1;5,1;9,3
12815;;Pagudpud;5,7;8,2;23,6;18,6;3,5;7,9;5,7;10,7
12816;;Paoay;4,5;4,8;22,0;17,7;2,9;6,1;3,4;6,2
12817;;Pasuquin;5,5;6,2;20,9;15,3;3,6;7,3;4,6;7,7
12818;;Piddig;5,6;7,7;21,7;14,3;3,6;7,6;5,9;9,6
12819;;Pinili;6,0;7,3;20,8;15,2;4,0;8,1;5,5;9,2
12820;;San Nicolas;2,9;4,2;32,7;17,3;1,4;4,5;3,0;5,3
12821;;Sarrat;4,7;5,5;23,0;15,0;2,9;6,4;4,2;6,9
12822;;Solsona;6,2;7,3;25,2;17,4;3,6;8,8;5,2;9,3
12823;;Vintar;4,2;6,6;21,3;13,3;2,7;5,6;5,2;8,1
