DisNo.;Historic;Classification Key;Disaster Group;Disaster Subgroup;Disaster Type;Disaster Subtype;External IDs;Event Name;ISO;Country;Subregion;Region;Location;Origin;Associated Types;OFDA/BHA Response;Appeal;Declaration;AID Contribution ('000 US$);Magnitude;Magnitude Scale;Latitude;Longitude;River Basin;Start Year;Start Month;Start Day;End Year;End Month;End Day;Total Deaths;No. Injured;No. Affected;No. Homeless;Total Affected;Total Damage ('000 US$);Total Damage, Adjusted ('000 US$);CPI;Admin Units;Entry Date;Last Update
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2004-0028-PHL;No;nat-hyd-flo-riv;Natural;Hydrological;Flood;Riverine flood;;;PHL;Philippines;South-eastern Asia;Asia;La Union district (Region I province);Monsoon;;No;No;No;;;Km2;;;;2004;1;23;2004;1;23;27;;194;;194;;;60,21357973;"[{""adm2_code"":24213,""adm2_name"":""La Union""}]";2004-02-09;2023-09-25
2004-0087-PHL;No;nat-hyd-flo-riv;Natural;Hydrological;Flood;Riverine flood;;;PHL;Philippines;South-eastern Asia;Asia;Davao del Norte, Compostela, Davao Oriental districts (Region XI province), Agusan del Sur, Agusan del Norte, Surigao Del Sur districts (Region XIII province), Misamis Oriental district (Region X province);Continuous rain from tropical depression Ambo;Slide (land, mud, snow, rock);No;No;No;;20370;Km2;;;Agusan;2004;2;11;2004;2;26;7;;20000;;20000;;;60,21357973;"[{""adm2_code"":24275,""adm2_name"":""Agusan Del Norte""},{""adm2_code"":24276,""adm2_name"":""Agusan Del Sur""},{""adm2_code"":24278,""adm2_name"":""Surigao Del Sur""},{""adm2_code"":24265,""adm2_name"":""Misamis Oriental""},{""adm2_code"":24266,""adm2_name"":""Compostela""},{""adm2_code"":24267,""adm2_name"":""Davao del Norte""},{""adm2_code"":24269,""adm2_name"":""Davao Oriental""}]";2004-03-04;2023-09-25
2004-0218-PHL;No;nat-met-sto-tro;Natural;Meteorological;Storm;Tropical cyclone;GLIDE:TC-2004-000025;Nida (Dindo/04W);PHL;Philippines;South-eastern Asia;Asia;Region V (Bicol region) province;;Rain|Slide (land, mud, snow, rock);No;No;No;;260;Kph;;;;2004;5;13;2004;5;19;31;14;;700;714;1000;1661;60,21357973;"[{""adm1_code"":2361,""adm1_name"":""Region V (Bicol region)""}]";2006-05-04;2025-06-25
2004-0267-PHL;No;nat-met-sto-tor;Natural;Meteorological;Storm;Tornado;;;PHL;Philippines;South-eastern Asia;Asia;Leyte district (Region VIII (Eastern Visayas) province);;;No;No;No;;;Kph;;;;2004;6;10;2004;6;10;7;4;;4500;4504;;;60,21357973;"[{""adm2_code"":24258,""adm2_name"":""Leyte""}]";2004-06-17;2023-09-25
2004-0309-PHL;No;nat-met-sto-tro;Natural;Meteorological;Storm;Tropical cyclone;;Mindulle (Igme/10W);PHL;Philippines;South-eastern Asia;Asia;Cagayan district (Region II (Cagayan Valley) province), Ilocos Norte, La Union districts (Region I (Ilocos region) province), Autonomous region in Muslim Mindanao (ARMM), Region IX (Zamboanga Peninsula), Region X (Northern Mindanao), Region XI (Davao Region), Region XII (Soccsksargen), Region XIII (Caraga) provinces;;Flood;No;No;No;;230;Kph;;;;2004;6;25;2004;7;2;28;12;385000;;385012;19667;32662;60,21357973;"[{""adm1_code"":2368,""adm1_name"":""Region XIII (Caraga)""},{""adm1_code"":67156,""adm1_name"":""Autonomous region in Muslim Mindanao (ARMM)""},{""adm1_code"":67159,""adm1_name"":""Region IX (Zamboanga Peninsula)""},{""adm1_code"":67160,""adm1_name"":""Region X (Northern Mindanao)""},{""adm1_code"":67161,""adm1_name"":""Region XI (Davao Region)""},{""adm1_code"":67162,""adm1_name"":""Region XII (Soccsksargen)""},{""adm2_code"":24211,""adm2_name"":""Ilocos Norte""},{""adm2_code"":24213,""adm2_name"":""La Union""},{""adm2_code"":24216,""adm2_name"":""Cagayan""}]";2006-05-05;2023-09-25
2004-0311-PHL;No;nat-hyd-flo-fla;Natural;Hydrological;Flood;Flash flood;;;PHL;Philippines;South-eastern Asia;Asia;Libungan, Alamada, Pigcawayan areas (North Cotabato district, Region XII province);Heavy rains;;No;No;No;;2080;Km2;;;Libungan;2004;6;28;2004;6;30;15;;;1500;1500;;;60,21357973;"[{""adm2_code"":24273,""adm2_name"":""North Cotabato""}]";2004-07-09;2023-09-25
2004-0435-PHL;No;nat-met-sto-tro;Natural;Meteorological;Storm;Tropical cyclone;GLIDE:TC-2004-000080|GLIDE:TC-2004-000085;Aere (Marce/20W);PHL;Philippines;South-eastern Asia;Asia;Benguet, Ifugao districts (Cordillera Administrative region (CAR) province), La Union, Pangasinan districts (Region I (Ilocos region) province), Nueva Vizcaya district (Region II (Cagayan Valley) province), Bataan, Bulacan, Nueva Ecija, Pampanga, Tarlac, Zambales districts (Region III (Central Luzon) province), Rizal district (Region IV-A (Calabarzon) province);;Flood|Slide (land, mud, snow, rock);No;No;No;;;Kph;;;Agno, Pampanga, Kalaklan, Camiling, Chico, Tarlac, Sinocalan;2004;8;25;2004;8;26;35;;1058849;;1058849;;;60,21357973;"[{""adm2_code"":24206,""adm2_name"":""Benguet""},{""adm2_code"":24207,""adm2_name"":""Ifugao""},{""adm2_code"":24213,""adm2_name"":""La Union""},{""adm2_code"":24214,""adm2_name"":""Pangasinan""},{""adm2_code"":24218,""adm2_name"":""Nueva Vizcaya""},{""adm2_code"":24220,""adm2_name"":""Bataan""},{""adm2_code"":24221,""adm2_name"":""Bulacan""},{""adm2_code"":24222,""adm2_name"":""Nueva Ecija""},{""adm2_code"":24223,""adm2_name"":""Pampanga""},{""adm2_code"":24224,""adm2_name"":""Tarlac""},{""adm2_code"":24225,""adm2_name"":""Zambales""},{""adm2_code"":24235,""adm2_name"":""Rizal""}]";2005-03-27;2025-06-25
2004-0580-PHL;No;nat-met-sto-tro;Natural;Meteorological;Storm;Tropical cyclone;GLIDE:TC-2004-000122;Muifa (Unding/29W);PHL;Philippines;South-eastern Asia;Asia;Mindoro Occidental, Mindoro Oriental districts (Region IV (Southern Tagalog) province), Region IV-A (Calabarzon), Region V (Bicol region) provinces;;Slide (land, mud, snow, rock);No;No;No;;215;Kph;;;;2004;11;14;2004;11;21;104;240;838434;;838674;6000;9965;60,21357973;"[{""adm1_code"":2361,""adm1_name"":""Region V (Bicol region)""},{""adm1_code"":67166,""adm1_name"":""Region IV-A (Calabarzon)""},{""adm2_code"":24231,""adm2_name"":""Mindoro Occidental""},{""adm2_code"":24232,""adm2_name"":""Mindoro Oriental""}]";2006-05-12;2025-06-25
2004-0602-PHL;No;nat-met-sto-tro;Natural;Meteorological;Storm;Tropical cyclone;GLIDE:TC-2004-000128|GLIDE:TC-2004-000131;Merbok (Violeta);PHL;Philippines;South-eastern Asia;Asia;Aurora district (Region III (Central Luzon) province);;Flood|Slide (land, mud, snow, rock);No;No;No;;;Kph;;;;2004;11;23;2004;11;28;29;14;;2000;2014;;;60,21357973;"[{""adm2_code"":24226,""adm2_name"":""Aurora""}]";2005-03-09;2025-06-25
