year,event_count,total_deaths,total_affected,total_damages
2004,13,1950.0,3263076.0,138867.0
2005,4,39.0,213057.0,2515.0
2006,20,2984.0,8612817.0,347281.0
2007,15,118.0,2010577.0,16555.0
2008,20,959.0,8459896.0,481202.0
2009,25,1307.0,13352484.0,962107.0
2010,15,1113.0,5581507.0,335087.0
2011,36,1989.0,11729947.0,730025.0
2012,22,2415.0,12531446.0,1005611.0
2013,14,7750.0,25667133.0,12422810.0
2014,13,331.0,13274658.0,1063690.0
2015,16,201.0,4019201.0,1965966.0
2016,11,87.0,5534812.0,180074.0
2017,14,233.0,4869805.0,161039.0
2018,11,832.0,9694321.0,569712.0
2019,18,1005.0,6928471.0,619171.0
2020,9,202.0,6116533.0,1113474.0
2021,14,572.0,12785052.0,1050235.0
2022,12,609.0,7928618.0,325471.0
2023,15,132.0,11286950.0,408156.0
2024,18,524.0,28665372.0,913110.0
