region,year,poverty_t0,d_poverty_next,typhoon_count,flood_count,earthquake_count,total_deaths,total_affected,total_damages,severe_event,haiyan_dummy
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2018,67.2,-24.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2021,42.4,-2.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2023,40.1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region (CAR),2018,16.5,-2.8000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region (CAR),2021,13.7,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region (CAR),2023,10.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAROPA Region,2018,21.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAROPA Region,2021,29.5,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAROPA Region,2023,33.0,,1.0,0.0,0.0,39.0,5385237.0,284256.0,0.0,0.0
National Capital Region (NCR),2018,4.3,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National Capital Region (NCR),2021,6.3,-2.6999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National Capital Region (NCR),2023,3.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Negros Island Region (NIR),2018,29.4,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Negros Island Region (NIR),2021,33.4,7.300000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Negros Island Region (NIR),2023,40.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region I (Ilocos Region),2018,15.3,6.099999999999998,1.0,0.0,0.0,84.0,3800138.0,32033.0,0.0,0.0
Region I (Ilocos Region),2021,21.4,-1.7999999999999972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region I (Ilocos Region),2023,19.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region II (Cagayan Valley),2018,23.0,-1.6000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region II (Cagayan Valley),2021,21.4,-5.799999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region II (Cagayan Valley),2023,15.6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region III (Central Luzon),2018,11.2,6.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region III (Central Luzon),2021,18.0,-4.5,0.0,1.0,0.0,2.0,38160.0,25000.0,0.0,0.0
Region III (Central Luzon),2023,13.5,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region IV-A (CALABARZON),2018,11.4,4.999999999999998,1.0,0.0,0.0,5.0,1709511.0,19000.0,0.0,0.0
Region IV-A (CALABARZON),2021,16.4,-2.9999999999999982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Region IV-A (CALABARZON),2023,13.4,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
