region,year,typhoon_count,flood_count,earthquake_count,total_deaths,total_affected,total_damages,severe_event,haiyan_dummy
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM),2022,0,1,0,3.0,1955.0,0.0,0,0
Cordillera Administrative Region (CAR),2007,1,0,0,8.0,2000.0,0.0,0,0
Cordillera Administrative Region (CAR),2008,1,0,0,37.0,46132.0,7420.0,0,0
MIMAROPA Region,2023,1,0,0,39.0,5385237.0,284256.0,0,0
MIMAROPA Region,2024,1,0,0,53.0,6498934.0,211000.0,0,0
National Capital Region (NCR),2020,1,0,0,111.0,514909.0,421000.0,0,0
Region I (Ilocos Region),2007,0,1,0,0.0,33571.0,0.0,0,0
Region I (Ilocos Region),2008,1,0,0,10.0,22081.0,40.0,0,0
Region I (Ilocos Region),2012,1,0,0,11.0,5607.0,99.0,0,0
Region I (Ilocos Region),2015,1,0,0,0.0,55567.0,2218.0,0,0
Region I (Ilocos Region),2018,1,0,0,84.0,3800138.0,32033.0,0,0
Region I (Ilocos Region),2022,0,0,1,10.0,502856.0,151000.0,0,0
Region II (Cagayan Valley),2006,2,0,0,43.0,66680.0,138000.0,0,0
Region II (Cagayan Valley),2007,1,0,0,8.0,33884.0,2971.0,0,0
Region II (Cagayan Valley),2008,2,0,0,40.0,460593.0,34017.0,0,0
Region II (Cagayan Valley),2013,1,0,0,4.0,220443.0,4729.0,0,0
Region II (Cagayan Valley),2015,3,0,0,47.0,333006.0,1530647.0,1,0
Region II (Cagayan Valley),2016,1,0,0,0.0,16648.0,4913.0,0,0
Region II (Cagayan Valley),2019,2,0,0,67.0,3299246.0,393162.0,0,0
Region II (Cagayan Valley),2022,0,0,1,0.0,147422.0,1400.0,0,0
Region III (Central Luzon),2004,1,0,0,29.0,2014.0,0.0,0,0
Region III (Central Luzon),2006,4,0,0,52.0,980663.0,10193.0,0,0
Region III (Central Luzon),2007,1,0,0,7.0,921462.0,492.0,0,0
Region III (Central Luzon),2008,3,0,0,67.0,1528849.0,99174.0,0,0
Region III (Central Luzon),2009,2,0,0,103.0,495236.0,55342.0,0,0
Region III (Central Luzon),2010,2,0,0,66.0,2010071.0,275745.0,0,0
Region III (Central Luzon),2011,1,0,0,25.0,1114085.0,2655.0,0,0
Region III (Central Luzon),2012,2,0,0,1.0,1556.0,0.0,0,0
Region III (Central Luzon),2013,2,1,0,71.0,1855640.0,133154.0,0,0
Region III (Central Luzon),2014,1,0,0,22.0,2052157.0,75783.0,0,0
Region III (Central Luzon),2015,2,0,0,2.0,6261.0,1300.0,0,0
Region III (Central Luzon),2016,0,1,0,19.0,1300000.0,0.0,0,0
Region III (Central Luzon),2017,1,0,0,0.0,3400.0,0.0,0,0
Region III (Central Luzon),2021,0,1,0,2.0,38160.0,25000.0,0,0
Region III (Central Luzon),2022,1,0,0,0.0,103602.0,0.0,0,0
Region IV-A (CALABARZON),2004,1,0,0,35.0,1058849.0,0.0,0,0
Region IV-A (CALABARZON),2009,3,0,0,23.0,684764.0,6303.0,0,0
Region IV-A (CALABARZON),2011,2,0,0,20.0,10890.0,59.0,0,0
Region IV-A (CALABARZON),2012,1,0,0,4.0,0.0,3000.0,0,0
Region IV-A (CALABARZON),2013,0,1,0,31.0,3096422.0,2190000.0,1,0
Region IV-A (CALABARZON),2014,1,0,0,2.0,683.0,0.0,0,0
Region IV-A (CALABARZON),2016,0,1,0,26.0,1263098.0,9320.0,0,0
Region IV-A (CALABARZON),2017,2,0,0,26.0,16449.0,22792.0,0,0
Region IV-A (CALABARZON),2018,1,0,0,5.0,1709511.0,19000.0,0,0
Region IV-A (CALABARZON),2020,0,0,0,1.0,736802.0,66000.0,0,0
Region IV-A (CALABARZON),2022,2,0,0,17.0,920945.0,74946.0,0,0
Region IX (Zamboanga Peninsula),2011,1,0,0,43.0,403230.0,34452.0,0,0
Region IX (Zamboanga Peninsula),2012,1,0,0,4.0,7921.0,0.0,0,0
Region V (Bicol Region),2004,4,0,0,1770.0,1790905.0,119200.0,1,0
