region,year,poverty_change_3y,poverty_t0,gdp_growth,unemployment_rate,typhoon_count,flood_count,earthquake_count,total_deaths,total_affected,total_damages,severe_event,haiyan_dummy,coastal
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2018,-24.699999999999996,60.3,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2021,-3.8000000000000007,35.6,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Cordillera Administrative Region (CAR),2018,-1.5999999999999996,11.9,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Cordillera Administrative Region (CAR),2021,-3.200000000000001,10.3,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
MIMAROPA Region,2018,6.600000000000001,15.2,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
MIMAROPA Region,2021,2.099999999999998,21.8,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
National Capital Region (NCR),2018,1.3000000000000005,2.3,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
National Capital Region (NCR),2021,-1.7000000000000002,3.6,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Negros Island Region (NIR),2018,2.799999999999997,21.1,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Negros Island Region (NIR),2021,4.800000000000001,23.9,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region I (Ilocos Region),2018,4.5,10.1,6.34148557153473,2.338,1.0,0.0,0.0,84.0,3800138.0,32033.0,0.0,0.0,1
Region I (Ilocos Region),2021,-2.0999999999999996,14.6,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region II (Cagayan Valley),2018,-0.6999999999999993,16.2,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region II (Cagayan Valley),2021,-5.199999999999999,15.5,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region III (Central Luzon),2018,4.9,7.0,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region III (Central Luzon),2021,-3.5999999999999996,11.9,5.71473313185116,3.398,0.0,1.0,0.0,2.0,38160.0,25000.0,0.0,0.0,1
Region IV-A (CALABARZON),2018,3.499999999999999,7.2,6.34148557153473,2.338,1.0,0.0,0.0,5.0,1709511.0,19000.0,0.0,0.0,1
Region IV-A (CALABARZON),2021,-2.6999999999999993,10.7,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region IX (Zamboanga Peninsula),2018,-2.900000000000002,32.6,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region IX (Zamboanga Peninsula),2021,1.5,29.7,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region V (Bicol Region),2018,4.100000000000001,26.4,6.34148557153473,2.338,0.0,0.0,0.0,0.0,86056.0,3564.0,0.0,0.0,1
Region V (Bicol Region),2021,-2.1999999999999993,30.5,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VI (Western Visayas),2018,3.200000000000001,13.9,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VI (Western Visayas),2021,-3.3000000000000007,17.1,5.71473313185116,3.398,1.0,0.0,0.0,3.0,8048.0,240.0,0.0,0.0,1
Region VII (Central Visayas),2018,12.1,15.7,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VII (Central Visayas),2021,-10.0,27.8,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VIII Eastern Visayas),2018,-1.0,30.3,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region VIII Eastern Visayas),2021,-1.400000000000002,29.3,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region X (Northern Mindanao),2018,2.900000000000002,22.9,6.34148557153473,2.338,0.0,1.0,0.0,11.0,180000.0,0.0,0.0,0.0,1
Region X (Northern Mindanao),2021,-0.9000000000000021,25.8,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region XI (Davao Region),2018,-1.8999999999999984,19.0,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Region XI (Davao Region),2021,-0.9000000000000021,17.1,5.71473313185116,3.398,0.0,2.0,0.0,0.0,27446.0,0.0,0.0,0.0,1
Region XIII (Caraga),2018,3.200000000000003,30.4,6.34148557153473,2.338,2.0,0.0,0.0,3.0,338776.0,15362.0,0.0,0.0,1
Region XIII (Caraga),2021,-12.6,33.6,5.71473313185116,3.398,4.0,0.0,0.0,530.0,12036988.0,1013995.0,1.0,0.0,1
"excluding Cotabato City""",2018,0.8000000000000007,26.9,6.34148557153473,2.338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
"excluding Cotabato City""",2021,-4.699999999999999,27.7,5.71473313185116,3.398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
