region,year,poverty_women,poverty_children,next_year,years_to_next,poverty_women_next,poverty_children_next,d_pov_women_next,d_pov_children_next,typhoon_count,flood_count,earthquake_count,total_deaths,total_affected,total_damages,severe_event,haiyan_dummy
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2018,60.3,67.2,2021.0,3.0,35.6,42.4,-24.699999999999996,-24.800000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2021,35.6,42.4,2023.0,2.0,31.8,40.1,-3.8000000000000007,-2.299999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2023,31.8,40.1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region (CAR),2018,11.9,16.5,2021.0,3.0,10.3,13.7,-1.5999999999999996,-2.8000000000000007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region (CAR),2021,10.3,13.7,2023.0,2.0,7.1,10.2,-3.200000000000001,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordillera Administrative Region (CAR),2023,7.1,10.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAROPA Region,2018,15.2,21.0,2021.0,3.0,21.8,29.5,6.600000000000001,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAROPA Region,2021,21.8,29.5,2023.0,2.0,23.9,33.0,2.099999999999998,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MIMAROPA Region,2023,23.9,33.0,,,,,,,1.0,0.0,0.0,39.0,5385237.0,284256.0,0.0,0.0
National Capital Region (NCR),2018,2.3,4.3,2021.0,3.0,3.6,6.3,1.3000000000000003,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National Capital Region (NCR),2021,3.6,6.3,2023.0,2.0,1.9,3.6,-1.7000000000000002,-2.6999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
National Capital Region (NCR),2023,1.9,3.6,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
