region,year,poverty_women
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2018,60.3
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2021,35.6
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City,2023,31.8
Cordillera Administrative Region (CAR),2018,11.9
Cordillera Administrative Region (CAR),2021,10.3
Cordillera Administrative Region (CAR),2023,7.1
MIMAROPA Region,2018,15.2
MIMAROPA Region,2021,21.8
MIMAROPA Region,2023,23.9
National Capital Region (NCR),2018,2.3
National Capital Region (NCR),2021,3.6
National Capital Region (NCR),2023,1.9
Negros Island Region (NIR),2018,21.1
Negros Island Region (NIR),2021,23.9
Negros Island Region (NIR),2023,28.7
Region I (Ilocos Region),2018,10.1
Region I (Ilocos Region),2021,14.6
Region I (Ilocos Region),2023,12.5
Region II (Cagayan Valley),2018,16.2
Region II (Cagayan Valley),2021,15.5
Region II (Cagayan Valley),2023,10.3
Region III (Central Luzon),2018,7.0
Region III (Central Luzon),2021,11.9
Region III (Central Luzon),2023,8.3
Region IV-A (CALABARZON),2018,7.2
Region IV-A (CALABARZON),2021,10.7
Region IV-A (CALABARZON),2023,8.0
Region IX (Zamboanga Peninsula),2018,32.6
Region IX (Zamboanga Peninsula),2021,29.7
Region IX (Zamboanga Peninsula),2023,31.2
Region V (Bicol Region),2018,26.4
Region V (Bicol Region),2021,30.5
Region V (Bicol Region),2023,28.3
Region VI (Western Visayas),2018,13.9
Region VI (Western Visayas),2021,17.1
Region VI (Western Visayas),2023,13.8
Region VII (Central Visayas),2018,15.7
Region VII (Central Visayas),2021,27.8
Region VII (Central Visayas),2023,17.8
Region VIII Eastern Visayas),2018,30.3
Region VIII Eastern Visayas),2021,29.3
Region VIII Eastern Visayas),2023,27.9
Region X (Northern Mindanao),2018,22.9
Region X (Northern Mindanao),2021,25.8
Region X (Northern Mindanao),2023,24.9
Region XI (Davao Region),2018,19.0
Region XI (Davao Region),2021,17.1
Region XI (Davao Region),2023,16.2
Region XIII (Caraga),2018,30.4
Region XIII (Caraga),2021,33.6
Region XIII (Caraga),2023,21.0
"excluding Cotabato City""",2018,26.9
"excluding Cotabato City""",2021,27.7
"excluding Cotabato City""",2023,23.0
