;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Region;2018;2021;2023;;;;;;;;;;;;
PHILIPPINES;23,9;26,3;23,4;;;;;;;;;;;;
National Capital Region (NCR) ;4,3;6,3;3,6;;;;;;;;;;;;
Cordillera Administrative Region (CAR) ;16,5;13,7;10,2;;;;;;;;;;;;
Region I (Ilocos Region);15,3;21,4;19,6;;;;;;;;;;;;
Region II (Cagayan Valley);23,0;21,4;15,6;;;;;;;;;;;;
Region III (Central Luzon);11,2;18,0;13,5;;;;;;;;;;;;
Region IV-A (CALABARZON);11,4;16,4;13,4;;;;;;;;;;;;
MIMAROPA Region;21,0;29,5;33,0;;;;;;;;;;;;
Region V (Bicol Region);35,4;39,9;37,9;;;;;;;;;;;;
Region VI (Western Visayas);20,6;25,1;21,2;;;;;;;;;;;;
Negros Island Region (NIR);29,4;33,4;40,7;;;;;;;;;;;;
Region VII (Central Visayas);22,6;36,9;25,7;;;;;;;;;;;;
Region VIII Eastern Visayas) ;40,0;39,0;37,7;;;;;;;;;;;;
Region IX (Zamboanga Peninsula);39,9;38,1;39,9;;;;;;;;;;;;
Region X (Northern Mindanao);31,6;35,6;35,0;;;;;;;;;;;;
Region XI (Davao Region);26,9;24,2;24,2;;;;;;;;;;;;
"Region XII (SOCCSKSARGEN) 
excluding Cotabato City";35,0;36,9;32,1;;;;;;;;;;;;
Region XIII (Caraga);39,8;44,1;29,2;;;;;;;;;;;;
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City;67,2;42,4;40,1;;;;;;;;;;;;
