;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Region;2018;2021;2023;;;;;;;;;;;;
PHILIPPINES;16,6;18,3;15,6;;;;;;;;;;;;
National Capital Region (NCR) ;2,3;3,6;1,9;;;;;;;;;;;;
Cordillera Administrative Region (CAR) ;11,9;10,3;7,1;;;;;;;;;;;;
Region I (Ilocos Region);10,1;14,6;12,5;;;;;;;;;;;;
Region II (Cagayan Valley);16,2;15,5;10,3;;;;;;;;;;;;
Region III (Central Luzon);7,0;11,9;8,3;;;;;;;;;;;;
Region IV-A (CALABARZON);7,2;10,7;8,0;;;;;;;;;;;;
MIMAROPA Region;15,2;21,8;23,9;;;;;;;;;;;;
Region V (Bicol Region);26,4;30,5;28,3;;;;;;;;;;;;
Region VI (Western Visayas);13,9;17,1;13,8;;;;;;;;;;;;
Negros Island Region (NIR);21,1;23,9;28,7;;;;;;;;;;;;
Region VII (Central Visayas);15,7;27,8;17,8;;;;;;;;;;;;
Region VIII Eastern Visayas) ;30,3;29,3;27,9;;;;;;;;;;;;
Region IX (Zamboanga Peninsula);32,6;29,7;31,2;;;;;;;;;;;;
Region X (Northern Mindanao);22,9;25,8;24,9;;;;;;;;;;;;
Region XI (Davao Region);19,0;17,1;16,2;;;;;;;;;;;;
"Region XII (SOCCSKSARGEN) 
excluding Cotabato City";26,9;27,7;23,0;;;;;;;;;;;;
Region XIII (Caraga);30,4;33,6;21,0;;;;;;;;;;;;
Bangsamoro Autonomous Region in Muslim Mindanao (BARMM) including Cotabato City;60,3;35,6;31,8;;;;;;;;;;;;
